,state,participation18,composite18
0,Alabama,100%,19.1
1,Alaska,33%,20.8
2,Arizona,66%,19.2
3,Arkansas,100%,19.4
4,California,27%,22.7
5,Colorado,30%,23.9
6,Connecticut,26%,25.6
7,Delaware,17%,23.8
8,District of Columbia,32%,23.6
9,Florida,66%,19.9
10,Georgia,53%,21.4
11,Hawaii,89%,18.9
12,Idaho,36%,22.3
13,Illinois,43%,23.9
14,Indiana,32%,22.5
15,Iowa,68%,21.8
16,Kansas,71%,21.6
17,Kentucky,100%,20.2
18,Louisiana,100%,19.2
19,Maine,7%,24.0
20,Maryland,31%,22.5
21,Massachusetts,25%,25.5
22,Michigan,22%,24.2
23,Minnesota,99%,21.3
24,Mississippi,100%,18.6
25,Missouri,100%,20.0
26,Montana,100%,20.0
27,Nebraska,100%,20.1
28,Nevada,100%,17.7
29,New Hampshire,16%,25.1
30,New Jersey,31%,23.7
31,New Mexico,67%,19.4
32,New York,27%,24.5
33,North Carolina,100%,19.1
34,North Dakota,98%,20.3
35,Ohio,100%,20.3
36,Oklahoma,100%,19.3
37,Oregon,42%,21.3
38,Pennsylvania,20%,23.5
39,Rhode Island,15%,24.2
40,South Carolina,100%,18.3
41,South Dakota,77%,21.9
42,Tennessee,100%,19.6
43,Texas,45%,20.7
44,Utah,100%,20.4
45,Vermont,24%,24.1
46,Virginia,24%,23.9
47,Washington,24%,22.2
48,West Virginia,65%,20.3
49,Wisconsin,100%,20.5
50,Wyoming,100%,20.0
51,National,,
